Ders No,Modül No,Modül,Konu,Ana Yapı,Ders Sonu Kazanımı,Hikâyedeki Doğal Kullanım
49,8,Karşılaştırma,Superlative adjectives,"the biggest, the fastest, the most careful",Üç veya daha fazla seçenek içinde en üstün olanı söyler.,Büyük turnuva
50,8,Karşılaştırma,"İnsan, hayvan ve şehir karşılaştırmaları",comparative + superlative review,Karşılaştırmaları gerçek bağlamda birleştirir.,"Karakter, hayvan ve şehir görevleri"
51,9,Gelecek,going to,plans and intentions,Önceden planlanmış geleceği anlatır.,Yolculuk planı
52,9,Gelecek,will,"prediction, instant decision, offer","Tahmin, ani karar ve teklifte will kullanır.",Beklenmeyen olay karşısında karar
53,9,Gelecek,Going to vs will,plan/evidence vs instant prediction,İki gelecek yapısını bağlama göre ayırır.,Planın değiştiği macera
54,9,Gelecek,Tatil planı,future plans + dates/places/activities,Basit tatil planı hazırlar.,Pomante dışına yolculuk
55,9,Gelecek,Gelecek tahminleri,"I think..., probably, maybe",Gelecekle ilgili basit tahmin yapar.,"Kehanet değil, kanıta dayalı tahmin"
56,10,A2 Devam ve Final,Present Perfect giriş,have/has + past participle,Geçmiş deneyim veya sonucu şimdiyle ilişkilendirir.,Bulunan anahtarın bugünkü sonucu
57,10,A2 Devam ve Final,ever / never,Have you ever...? I have never...,Yaşam deneyimi sorar ve anlatır.,Karakterlerin geçmiş deneyimleri
58,10,A2 Devam ve Final,already / yet,have already...; haven't ... yet,Tamamlanmış ve henüz tamamlanmamış işi ayırır.,Görev kontrol listesi
59,10,A2 Devam ve Final,for / since,for two days; since Monday,Bir durumun süresini başlangıç veya süreyle anlatır.,Uzun süredir devam eden gizem
60,10,A2 Devam ve Final,used to,past habits/states,Geçmişte olan ama artık olmayan alışkanlığı anlatır.,Eski Pomante ile bugünü karşılaştırma
61,10,A2 Devam ve Final,Gerund / infinitive giriş,like doing; want to do; need to do,Sık fiillerden sonra -ing veya to kullanır.,Karakter hedef ve tercihleri
62,10,A2 Devam ve Final,First Conditional,"If + present, will + verb",Gerçekçi gelecek koşulu ve sonucunu anlatır.,Karar noktaları
63,10,A2 Devam ve Final,Temel phrasal verbs,"wake up, look for, pick up, turn on/off, go back",Sık kullanılan fiil öbeklerini bağlam içinde anlar.,Final görev zinciri
64,10,A2 Devam ve Final,Genel tekrar,A1-A2 karma yapı tekrarı,Önceki yapıları karışık bağlamda uygular.,Final öncesi büyük macera
65,10,A2 Devam ve Final,Final sınavı,"okuma, dinleme, dilbilgisi, kelime ve üretim",A1 köprüden A2 başlangıca kadar kazanımlarını gösterir.,Final kapısı ve başarı töreni
